playerID,entropy,age,gender,race,education,politicalOrientation
01JVTTB7B9EZ3NFX2YEKQXSF3J,0.23868451135100138,,,,,
01JVTTDEA2RSRK54X7BM3VR865,0.27790019762551116,29.0,Female,Caucasian,Some College,Extremely Liberal
01JVTTED65HWK5HHNYF0PWAQYD,0.41599004717511334,,,,,
01JVTTHDY4RA8DHMKBWNQJFSQ5,1.9106938448579511,36.0,Female,Asian,College,Moderately Liberal
01JVTTEGCTM5BFRV5HASK5CEJ1,2.482786333193711,25.0,Male,Mixed-Race,College,Slightly Conservative
01JVTTEP24XGZJYAKQQ75G087M,0.41599004717511334,21.0,Female,Caucasian,High School,Slightly Conservative
01JVTTHB04R9MRRX9FY7WMA6YT,0.3227569588973983,21.0,Female,Caucasian,Some College,Moderately Liberal
01JVTTC4VB5TX4YM0ASWKY7SGE,1.3970382508647838,35.0,Female,Caucasian,Graduate Professional School,Moderately Conservative
01JVTTCV3XRYR5EQMHJG8G23K3,2.0336623095517656,23.0,Female,Caucasian,Graduate Professional School,Moderately Conservative
01JVTTBK0ZW8NB94CW4DEZCCDS,0.611957695331837,25.0,Male,Caucasian,High School,Extremely Liberal
