Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
24,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
25,Bright Green,0.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
26,Sky Blue,1.0,Bright Green,0.0,Bright Green,Bright Green,Contrarian,Lose-Shift,Contrarian+Lose-Shift
27,Sky Blue,1.0,Sky Blue,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
28,Bright Green,1.0,Sky Blue,1.0,Sky Blue,Bright Green,Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
29,Amber,1.0,Bright Green,1.0,Bright Green,Bright Green,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
30,Amber,1.0,Amber,1.0,Amber,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
31,Sky Blue,1.0,Amber,1.0,Amber,Bright Green,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
32,Amber,1.0,Sky Blue,1.0,Sky Blue,Bright Green,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
33,Amber,1.0,Amber,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
34,Amber,1.0,Amber,1.0,Amber,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
35,Amber,1.0,Amber,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
36,Amber,0.0,Amber,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
37,Amber,1.0,Amber,0.0,Bright Green,Bright Green,Contrarian,Lose-Stay,Contrarian+Lose-Stay
38,Amber,1.0,Amber,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
39,Amber,1.0,Amber,1.0,Amber,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
40,Amber,0.0,Amber,1.0,Amber,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
41,Amber,1.0,Amber,0.0,Amber,Bright Green,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
42,Amber,1.0,Amber,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
43,Amber,1.0,Amber,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
44,Amber,1.0,Amber,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
45,Amber,1.0,Amber,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
46,Amber,0.0,Amber,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
47,Amber,1.0,Amber,0.0,Bright Green,Bright Green,Contrarian,Lose-Stay,Contrarian+Lose-Stay
48,Amber,1.0,Amber,1.0,Amber,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
49,Bright Green,0.0,Amber,1.0,Bright Green,Bright Green,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
50,Amber,1.0,Bright Green,0.0,Bright Green,Bright Green,Contrarian,Lose-Shift,Contrarian+Lose-Shift
51,Bright Green,1.0,Amber,1.0,Bright Green,Bright Green,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
52,,,Bright Green,1.0,Bright Green,Bright Green,N/A,N/A,N/A+N/A
