playerID,entropy,age,gender,race,education,politicalOrientation
01JTNS8VX6REHW16TJWE1R437P,3.128021059758595,23.0,Male,Asian,Some College,Slightly Liberal
01JTNSB3MTD001M2CV90W3RV9A,2.2282109536423063,29.0,Male,African,College,Slightly Conservative
01JTNS860459Q20M5J95GNKMWJ,1.4757581031524787,44.0,Male,Caucasian,College,Moderately Liberal
01JTNS800XKB2QRWZR7D3MV6R0,1.8738890028268553,45.0,Male,African,College,Extremely Liberal
01JTNSB4JC26PT3D2WNAGYS6KP,1.8235544854349421,27.0,Male,Caucasian,College,Slightly Liberal
01JTNS7NPXBWAM6WBJVKS07CGG,0.3014969295343807,40.0,Male,Asian,College,Slightly Liberal
01JTNS9QBNYAS004J80MYRQ02G,0.23868451135100138,24.0,Female,African,College,Extremely Conservative
01JTNS7T84SCKGMTGACRJQJW6D,0.3322866302216151,,,,,
01JTNS7W3P8TCBQE14F22MEHNH,1.6284490980153274,39.0,Female,African,High School,Slightly Liberal
01JTNS7PQHWSEREKR6CK206ESW,0.5335263227828173,33.0,Male,Caucasian,Some College,Extremely Liberal
