playerID,entropy,age,gender,race,education,politicalOrientation
01JVWAAGYJKN322FY871XFT4P5,2.726900339615012,47,Female,Caucasian,Some College,Moderately Liberal
01JVWABK1CXR73ZPK044QZJAQG,1.0459180039306184,28,Male,Asian,College,Moderately Liberal
01JVWAD35AX1AZFNQV7TBYGCN2,0.48206614808309317,30,Male,Latin/x,Some College,Slightly Liberal
01JVWAFWW1QQM563BYZBSER1AH,1.2186648262463013,54,Female,Caucasian,High School,Extremely Liberal
01JVWAD4AE17N7FDMPDT5TBKSJ,0.14372616993938178,42,Male,African,College,Moderately Liberal
01JVWAF5QB4JSPQERTVS3A96TW,2.2867187838723373,37,Male,African,Some College,Slightly Liberal
01JVWAM7QEYFKF7DG28MSB8K00,1.3670251074945472,31,Male,Caucasian,College,Slightly Liberal
01JVWAGVB9T8J19FHSW5JR0TDD,0.1392329990550989,33,Female,Latin/x,Graduate Professional School,Moderately Conservative
01JVWAMA8Z9VPZFP2M30N27BZV,0.27790019762551116,36,Male,Caucasian,College,Moderately Conservative
01JVWABHQK8MST7R4WYM2EN0FD,0.9975025463691153,19,Female,African,Some College,Moderately Liberal
