age,gender,genderOther,race,raceOther,education,educationOther,country,politicalOrientation,experience,engagement,clearity,interference,interferenceOption,keyFactors,strategy,motivation,followUp,additionalFeedback,playerID,experienceDetails
19,Female,,African,,Some College,,US,Moderately Liberal,No,Moderately Engaging,Clear,,No,"The key factors for my decisions were the amount of times they succeeded compared to the amount of times they failed, and how often this occurred.","I looked at the people with the highest number of successes and the lowest number of failures at first, then switched to looking at the overall ratio of the successes to failures.","I was motivated by the amount of money being given to participate, but also because I felt like I was working in a team setting.",Yes,,01JVWABHQK8MST7R4WYM2EN0FD,
28,Male,,Asian,,College,,United States,Moderately Liberal,No,Engaging,Very Clear,,No,The amount of failures in each choice. The higher the failure regardless of the success the more I wanted to choice another option. I wanted to keep the ratio of success to failures relatively high.,I based it initially on the most obvious choice. If I didn't receive a bonus for that choice then I knew I was wrong and looked for the next most obvious choice. I also factored in what the rest of the group would most likely pick.,Monetary incentive and interest in the research,Yes,,01JVWABK1CXR73ZPK044QZJAQG,
42,Male,,African,,College,,United States of America,Moderately Liberal,Yes,Engaging,Clear,,No,their individual level of accomplishment,i made my choice based on their ratio of productivity,it matched my interest,No,,01JVWAD4AE17N7FDMPDT5TBKSJ,i do not remember but i participated
54,Female,,Caucasian,,High School,,United States,Extremely Liberal,No,Very Engaging,Very Clear,,No,How successful the candidate was and the higher the number,I tried to decide on the ratio of successes versus failures and tried to pick the higher rate of successes,I thought it would be interesting and engaging. Thank you for allowing me back in after I had left the first time.,Yes,I had originally left and you sent me a message with a link back in and I just wanted to thank you for that.,01JVWAFWW1QQM563BYZBSER1AH,
33,Female,,Latin/x,,Graduate Professional School,,USA,Moderately Conservative,No,Engaging,Moderately Clear,,No,I looked for the consensus ,I looked for the choice that other people made,Money,Yes,,01JVWAGVB9T8J19FHSW5JR0TDD,
31,Male,,Caucasian,,College,,United States,Slightly Liberal,No,Moderately Engaging,Clear,,No,Math is really the only thing that guided my choices,By dividing the success by failures and coming up with a rating number,Money and boredom ,Yes,,01JVWAM7QEYFKF7DG28MSB8K00,
47,Female,,Caucasian,,Some College,,us,Moderately Liberal,Yes,Slightly Engaging,Slightly Clear,,No,Just the success vs fails,Tried to spread it around to new hires,Money,Yes,,01JVWAAGYJKN322FY871XFT4P5,"Oh gosh, I did it on here. "
37,Male,,African,,Some College,,United States of America ,Slightly Liberal,No,Engaging,Very Clear,,No,"I noticed that just because a hire had many successes, it ultimately didn't matter if they also had a large number of failures.",I focused mostly on which potential hire had the fewest failures and the best maximum success ratio.,"I was curious to see how much I could maximize my profit, and how good I would be at deciding who would be the best hiring candidate in the experiment.",Yes,I have no additional thoughts or feedback. Thank you. ,01JVWAF5QB4JSPQERTVS3A96TW,
35,Female,,Caucasian,,College,,North America,Slightly Conservative,No,Moderately Engaging,Moderately Clear,,No,NA,NA,NA,Yes,,01JVWAKXSBHGK4VK83FEA9H76X,
36,Male,,Caucasian,,College,,USA,Moderately Conservative,No,Very Engaging,Clear,,No,"As mentioned before, the success and failure rates were important as well as how many people picked it.",I wanted to pick the one that had the most success and the most votes.,"It seemed interesting, I wanted to collaborate with others, and money.",Yes,,01JVWAMA8Z9VPZFP2M30N27BZV,
30,Male,,Latin/x,,Some College,,United States,Slightly Liberal,No,Slightly Engaging,Moderately Clear,,No,color of the group,i liked the color i picked then one group had more success but returned to the original group i picked,interested in the game,Yes,,01JVWAD35AX1AZFNQV7TBYGCN2,
