age,gender,genderOther,race,raceOther,education,educationOther,country,politicalOrientation,experience,engagement,clearity,interference,interferenceOption,keyFactors,strategy,motivation,followUp,additionalFeedback,playerID,experienceDetails
29,Male,,Asian,,College,,USA,Slightly Conservative,No,Slightly Engaging,Clear,,No,I first chose by color then went by number of successes,I tried picking based off of % success to failure and then number,Curiosity and money,Yes,,01JTS723YPMA1SJWJ0VCR99JZB,
27,Female,,Caucasian,,Graduate Professional School,,United States,Extremely Liberal,No,Moderately Engaging,Slightly Clear,,No,"The anxiety from a countdown and not immediately understanding the study aims introduced pressure for me, but I eventually setlled on choosing the highest number choice","At first I chose arbitrarily, because I wasn't quite sure what the 'correct' answer was, eventually I settled on choices with the highest number of successes and failures total, indicating total productivity regardless of success to failure ratio. I wasn't quite sure what the study was asking of me, so I panicked slightly (particularly at the end when allocating numbers)","Monetary initially; however, I am thoroughly enjoying the variety of experiments I am taking part in, as I have a background in science that makes me curious as to figuring out what a study is truly attempting to measure",Yes,,01JTS72GS6TFASVG78DE1QTB8W,
22,Female,,Asian,,Some College,,United States of America,Moderately Liberal,No,Moderately Engaging,Clear,,No,"The main factors influencing my decision were simply the production numbers. I always picked the one with the highest production, with reasonable amounts of error. This quiz was looking for productivity, not accuracy. If I was looking for complete accuracy, I would be more closely observing success/fail ratios, rather than the raw success count. ","I made sure to check the stats of all the candidates and compared their results to each other. I chose the most productive one among them. When the results were still similar, I simply picked the one I saw first, or the one that had a color I liked (e.g., red). ",Monetary incentive... I would love to do this again for money.,Yes,,01JTS6YPD6RY5G40K4WRD8WMTP,
25,Female,,African,,College,,USA,Moderately Liberal,No,Engaging,Clear,I'm not sure if it was my browser but the applicants were angled vertically and it was blocking an error message in the first trial but I was able to get through all 50. I also missed the instructions due to the orientation on the allocation slide but refreshed the page and was able to finish.,Yes,I would try and divide in my head to calculate the odds but when I picked one that had the best odds but didn't get a bonus I switched to only going with what numbers were bigger but had better rations.,Looking for the highest number of success and if it had an acceptable low number of errors.,I thought it was cool I was working side by side other participants and that I could earn bonuses.,Yes,,01JTS6YSGKD8E961E8ZKZKJ4BF,
45,Male,,Caucasian,,College,,USA,Extremely Liberal,No,Very Engaging,Very Clear,,No,I just went with my gut.,I used my gut to pick the people I thought would have the most success.,I like the idea of the game overall ,Yes,,01JTS6Z36TH1E3M89RSZA5MMFJ,
31,Female,,Caucasian,,College,,US,Slightly Liberal,No,Moderately Engaging,Moderately Clear,,No,Mostly just the number of successes. ,"I just selected the candidate that appeared to have the most successes, and relatively low failures. This was always the same option though, so I almost thought maybe I didn't do it correctly. ","Curiosity, money. ",Yes,,01JTS6ZE18EA1XGE24MH4XDNY6,
21,Male,,Mixed-Race,,High School,,United States of America,Slightly Conservative,No,Moderately Engaging,Moderately Clear,,No,Consistency among the same few selections.,I tried to gauge the ratio from failures to success in relation to the combined total.,Monetary Incentive,Yes,,01JTS706D1B7MT98G3AS4XGXGA,
44,Male,,Caucasian,,High School,,USA,Moderately Liberal,No,Moderately Engaging,Slightly Clear,,No,"Results primarily, the group I chose seemed to get me a bonus nearly every time. It also seemed to have the most successes and failures by a huge margin",Based primarily on success with failure being a secondary consideration. The ratio mattered a little but successes were the biggest consideration,Monetary incentive,Yes,,01JTS71B3YE0PC1DH5XFQ1G4X6,
31,Female,,Latin/x,,College,,USA,Extremely Liberal,Yes,Engaging,Clear,,No,I turned the successes and failures into fractions and went with the highest percentage. Math.,I turned the successes and failures into fractions and went with the highest percentage.,curiosity,Yes,,01JTS74MAY1BSBNTKEG1YWCNA5,Online hiring experiment
42,Male,,Caucasian,,Some College,,United States of America ,Moderately Conservative,No,Engaging,Clear,,No,The most success and the least failures ,My approach was to select the candidate with the most success,It looked interesting and had good pay,Yes,None,01JTS775VFZV8FXSFZ7DV9VMWE,
